new_cases;new_deaths;country;population_density
74719;1881;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
89958;2017;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
118672;2243;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
157739;2958;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
204212;3596;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
250622;4986;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
284153;5583;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
284171;6147;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
246602;6483;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
274259;6476;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
297262;7103;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
253511;6146;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
268288;5681;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
222139;5628;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
176235;4648;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
135374;3669;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
125086;3303;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
91997;2798;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
69112;2412;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
53609;1919;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
46062;1530;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
39367;1494;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
37830;1331;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
39369;1239;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
37962;1175;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
34675;1098;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
59630;1142;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
98223;1069;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
181354;954;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
280308;1002;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
301014;1394;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
314801;1574;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
316014;2532;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
287745;2483;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
266544;2438;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
248641;2410;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
206969;2609;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
152832;2888;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
130051;2976;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
133003;1599;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
67221;1915;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
70178;590;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
42332;415;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
39145;365;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
35338;370;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
32028;287;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
30278;216;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
39761;262;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
52459;151;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
61651;264;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
67821;350;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
54667;233;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
39258;261;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
35181;246;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
